序号,配方类别 ,物品种类,物品名称,描述,文件名,物品等级,需要技能等级
1,duanzao,d_weapon,【卷轴】残破的重剑,上面记载了残破的重剑的制造方法,peifang/duanzao/p_canpodezhongjian,1,0
2,duanzao,m_weapon,【卷轴】锈铁剑,上面记载了锈铁剑的制造方法,peifang/duanzao/p_tiejian,5,15
3,duanzao,s_weapon,【卷轴】破铜剑,上面记载了破铜剑的制造方法,peifang/duanzao/p_potongjian,5,15
4,duanzao,d_weapon,【卷轴】石巨剑,上面记载了石巨剑的制造方法,peifang/duanzao/p_canpodezhongjian,5,15
5,duanzao,m_weapon,【卷轴】青铜剑,上面记载了青铜剑的制造方法,peifang/duanzao/p_qingtongjian,9,30
6,duanzao,s_weapon,【卷轴】羊角匕首,上面记载了羊角匕首的制造方法,peifang/duanzao/p_yangjiaobishou,9,30
7,duanzao,m_weapon,【卷轴】火精剑,上面记载了火精剑的制造方法,peifang/duanzao/p_huojingjian,13,45
8,duanzao,s_weapon,【卷轴】含光匕首,上面记载了含光匕首的制造方法,peifang/duanzao/p_hanguangbishou,13,45
9,duanzao,d_weapon,【卷轴】镇山剑,上面记载了镇山剑的制造方法,peifang/duanzao/p_zhenshanjian,13,45
10,duanzao,m_weapon,【卷轴】断水剑,上面记载了断水剑的制造方法,peifang/duanzao/p_duanshuijian,17,60
11,duanzao,s_weapon,【卷轴】转魂匕首,上面记载了转魂匕首的制造方法,peifang/duanzao/p_zhuanhunbishou,17,60
12,duanzao,d_weapon,【卷轴】四尺千金剑,上面记载了四尺千金剑的制造方法,peifang/duanzao/p_sichiqianjinjian,17,60
13,duanzao,m_weapon,【卷轴】碧空长剑,上面记载了碧空长剑的制造方法,peifang/duanzao/p_bikuangchangjian,17,60
14,duanzao,m_weapon,【卷轴】青云剑,上面记载了青云剑的制造方法,peifang/duanzao/p_qingyunjian,21,75
15,duanzao,s_weapon,【卷轴】赤血匕首,上面记载了赤血匕首的制造方法,peifang/duanzao/p_chixiebishou,21,75
16,duanzao,d_weapon,【卷轴】雁翅刀,上面记载了雁翅刀的制造方法,peifang/duanzao/p_yanchidao,21,75
17,duanzao,m_weapon,【卷轴】白鹿刀,上面记载了白鹿刀的制造方法,peifang/duanzao/p_bailudao,25,90
18,duanzao,s_weapon,【卷轴】玉把刀,上面记载了玉把刀的制造方法,peifang/duanzao/p_yubadao,25,90
19,duanzao,d_weapon,【卷轴】安陵古剑,上面记载了安陵古剑的制造方法,peifang/duanzao/p_anlinggujian,25,90
20,duanzao,m_weapon,【卷轴】龙渊宝剑,上面记载了龙渊宝剑的制造方法,peifang/duanzao/p_longyuanbaojian,29,105
21,duanzao,s_weapon,【卷轴】毒牙匕首,上面记载了毒牙匕首的制造方法,peifang/duanzao/p_duyabishou,29,105
22,duanzao,d_weapon,【卷轴】突云长剑,上面记载了突云长剑的制造方法,peifang/duanzao/p_tuyunchangjian,29,105
23,duanzao,m_weapon,【卷轴】百胜刀,上面记载了百胜刀的制造方法,peifang/duanzao/p_baishengdao,33,120
24,duanzao,s_weapon,【卷轴】芒牙匕首,上面记载了芒牙匕首的制造方法,peifang/duanzao/p_mangyabishou,33,120
25,duanzao,d_weapon,【卷轴】掩日巨剑,上面记载了掩日巨剑的制造方法,peifang/duanzao/p_zherijujian,33,120
26,duanzao,m_weapon,【卷轴】耀龙剑,上面记载了耀龙剑的制造方法,peifang/duanzao/p_yaolongjian,37,135
27,duanzao,s_weapon,【卷轴】驱凤剑,上面记载了驱凤剑的制造方法,peifang/duanzao/p_qufengjian,37,135
28,duanzao,d_weapon,【卷轴】巨阙剑,上面记载了巨阙剑的制造方法,peifang/duanzao/p_juquejian,37,135
29,duanzao,m_weapon,【卷轴】湛卢剑,上面记载了湛卢剑的制造方法,peifang/duanzao/p_zhanlujian,41,140
30,duanzao,s_weapon,【卷轴】灵宝匕首,上面记载了灵宝匕首的制造方法,peifang/duanzao/p_lingbaobishou,41,140
31,duanzao,d_weapon,【卷轴】王刀百辟,上面记载了王刀百辟的制造方法,peifang/duanzao/p_wangdaobaipi,41,140
32,duanzao,m_weapon,【卷轴】真火剑,上面记载了真火剑的制造方法,peifang/duanzao/p_zhenhuojian,41,140
33,duanzao,m_weapon,【卷轴】照日流光剑,上面记载了照日流光剑的制造方法,peifang/duanzao/p_zhaoriliuguangjian,45,145
34,duanzao,s_weapon,【卷轴】定光剑,上面记载了定光剑的制造方法,peifang/duanzao/p_dingguangjian,45,145
35,duanzao,d_weapon,【卷轴】六合纯阳剑,上面记载了六合纯阳剑的制造方法,peifang/duanzao/p_liuhechunyangjian,45,145
36,duanzao,m_weapon,【卷轴】巫术匕首,上面记载了巫术匕首的制造方法,peifang/duanzao/p_wushubishou,45,145
37,duanzao,m_weapon,【卷轴】干将,上面记载了干将的制造方法,peifang/duanzao/p_ganjiang,49,150
38,duanzao,s_weapon,【卷轴】莫邪,上面记载了莫邪的制造方法,peifang/duanzao/p_moxie,49,150
39,duanzao,d_weapon,【卷轴】神剑赤霄,上面记载了神剑赤霄的制造方法,peifang/duanzao/p_shenjianchixiao,49,150
40,duanzao,m_weapon,【卷轴】万里起云烟,上面记载了万里起云烟的制造方法,peifang/duanzao/p_wanliqiyunyan,49,150
41,duanzao,armor,【卷轴】精刚手腕,上面记载了精刚手腕的制造方法,peifang/duanzao/p_jinggangshouwan,14,15
42,duanzao,armor,【卷轴】银丝手套,上面记载了银丝手套的制造方法,peifang/duanzao/p_yinsishoutao,14,15
43,duanzao,armor,【卷轴】虎头靴,上面记载了虎头靴的制造方法,peifang/duanzao/p_hutouxue,14,15
44,duanzao,armor,【卷轴】精刚盔,上面记载了精刚盔的制造方法,peifang/duanzao/p_jinggangkui,14,15
45,duanzao,armor,【卷轴】锁链护腿,上面记载了锁链护腿的制造方法,peifang/duanzao/p_suolianhutui,14,15
46,duanzao,armor,【卷轴】燕翎甲,上面记载了燕翎甲的制造方法,peifang/duanzao/p_yanlingjia,14,15
47,duanzao,armor,【卷轴】巨力护腕,上面记载了巨力护腕的制造方法,peifang/duanzao/p_julihuwan,18,30
48,duanzao,armor,【卷轴】百战手套,上面记载了百战手套的制造方法,peifang/duanzao/p_baizhanshoutao,18,30
49,duanzao,armor,【卷轴】践踏重靴,上面记载了践踏重靴的制造方法,peifang/duanzao/p_jiantazhongxue,18,30
50,duanzao,armor,【卷轴】冲云盔,上面记载了冲云盔的制造方法,peifang/duanzao/p_chongyunkui,18,30
51,duanzao,armor,【卷轴】冲击护腿,上面记载了冲击护腿的制造方法,peifang/duanzao/p_chongjihutui,18,30
52,duanzao,armor,【卷轴】龙纹战甲,上面记载了龙纹战甲的制造方法,peifang/duanzao/p_longwenzhanjia,18,30
53,duanzao,armor,【卷轴】钒铁手腕,上面记载了钒铁手腕的制造方法,peifang/duanzao/p_fantieshouwan,22,45
54,duanzao,armor,【卷轴】碎石手套,上面记载了碎石手套的制造方法,peifang/duanzao/p_suishishoutao,22,45
55,duanzao,armor,【卷轴】碎石重靴,上面记载了碎石重靴的制造方法,peifang/duanzao/p_suishizhongxue,22,45
56,duanzao,armor,【卷轴】钒铁盔,上面记载了钒铁盔的制造方法,peifang/duanzao/p_fantiekui,22,45
57,duanzao,armor,【卷轴】钒铁护腿,上面记载了钒铁护腿的制造方法,peifang/duanzao/p_fantiehutui,22,45
58,duanzao,armor,【卷轴】钒铁战甲,上面记载了钒铁战甲的制造方法,peifang/duanzao/p_fantiezhanjia,22,45
59,duanzao,armor,【卷轴】细银护腕,上面记载了细银护腕的制造方法,peifang/duanzao/p_xiyinhuwan,26,60
60,duanzao,armor,【卷轴】细银手套,上面记载了细银手套的制造方法,peifang/duanzao/p_xiyinshoutao,26,60
61,duanzao,armor,【卷轴】细银重靴,上面记载了细银重靴的制造方法,peifang/duanzao/p_xiyinzhongxue,26,60
62,duanzao,armor,【卷轴】白骨面具,上面记载了白骨面具的制造方法,peifang/duanzao/p_baigumianju,26,60
63,duanzao,armor,【卷轴】白骨腿甲,上面记载了白骨腿甲的制造方法,peifang/duanzao/p_baigutuijia,26,60
64,duanzao,armor,【卷轴】白骨链甲,上面记载了白骨链甲的制造方法,peifang/duanzao/p_baigulianjia,26,60
65,duanzao,armor,【卷轴】锁日铁腕,上面记载了锁日铁腕的制造方法,peifang/duanzao/p_suoritiewan,30,75
66,duanzao,armor,【卷轴】锁日手套,上面记载了锁日手套的制造方法,peifang/duanzao/p_suorishoutao,30,75
67,duanzao,armor,【卷轴】伏魔重靴,上面记载了伏魔重靴的制造方法,peifang/duanzao/p_fumozhongxue,30,75
