task/shachongdeluan,沙虫的卵,沙虫:60,,
task/jingchundeshedu,精纯的蛇毒,毒雾火蛇:5,,
task/jimizhujian,机密竹简,天仙教刺客:5,,
task/tianxianjiaohuizhang,天仙教徽章,天仙教刺客:60,,
task/guilingjinghua,鬼灵精华,游魂:10,,
task/qinyuandeyumao,钦原的羽毛,钦原:60,,
task/yuntailingzhi,云台灵芝,土蝼:5,,
task/shuanglangyinya,霜狼银牙,霜狼:5,,
task/yingshi,影石,虚空幻影:60|无影幻兽:60|飘渺魔影:60|混沌巨鹰:60,,
task/kunlunmentutoulu,昆仑门徒头颅,修真士:100|濒死诛仙:100|散仙:100|道士:100|力士:100|落魄剑仙:100,颗,任务物品
task/kunlunpojian,昆仑破剑,濒死诛仙:5|落魄剑仙:5,柄,任务物品
task/chongtou,虫头,赤血蜈蚣:60|青色毒蝎:60|蛆虫幼体:60|象鼻毒虫:60|百足蜈蚣:60|黑翅毒蜂:60,个,任务物品
task/duyedai,毒液袋,赤血蜈蚣:60|青色毒蝎:60|蛆虫幼体:60|象鼻毒虫:60|百足蜈蚣:60|黑翅毒蜂:60,个,任务物品
task/judaduya,巨大毒牙,赤血蜈蚣:1|青色毒蝎:1|蛆虫幼体:1|象鼻毒虫:1|百足蜈蚣:1|黑翅毒蜂:1,颗,任务物品
task/chongke,虫壳,赤血蜈蚣:10|青色毒蝎:10|蛆虫幼体:10|象鼻毒虫:10|百足蜈蚣:10|黑翅毒蜂:10,个,任务物品
task/funverduo,妇女耳朵,妇女:100,对,任务物品
task/kunlunshandemihan,昆仑山的密函,樵夫:5|福寿村民:5|福寿守卫:5|小贩:5|农夫:5|妇女:5,封,任务物品
task/xianrengu,仙人骨,樵夫:1|福寿村民:1|福寿守卫:1|小贩:1|农夫:1|妇女:1,副,任务物品
task/juyinghui,巨鹰喙,混沌巨鹰:50,个,任务物品
task/yingzisuipian,影子碎片,无影幻兽:50|虚空幻影:50|飘渺魔影:50,片,任务物品
task/xukongjinghua,虚空精华,无影幻兽:1|虚空幻影:1|飘渺魔影:1|混沌巨鹰:1,个,任务物品
task/leiniaomao,雷鸟毛,雷鸟:1,根,任务物品
task/lingguizhike,灵龟之壳,灵龟:50,个,任务物品
task/wanmeideweilonggu,完美的伪龙骨,伪龙:1,副,任务物品
task/longya,龙牙,伪龙:100,颗,任务物品
