任务Id,是否手工完成,任务名称,任务内容,级别限制,年龄限制,阵营限制,性别限制,职业限制,婚姻限制,发放任务的NPC,任务类型,任务性质,发放任务对话,杀戮要求,搜寻要求,传送要求,完成时间限制,验收任务的NPC,任务完成之前对话内容,任务完成之后NPC答复,任务奖励经验值,任务奖励金钱,任务奖励物品id,是否可重复完成,任务前续,力量限制,智力限制,敏捷限制,绝对限制,任务入口,任务出口
1,n,新手历练,杀掉沙虫、夜莺、毒雾火蛇、黄沙蜥蜴各1只之后找赵公明复命,1,,妖魔,,,,jinaodao/zhaogongming400,kill,,欢迎加入妖魔的行列，我这里有很多工作需要你帮助我完成，不过在派遣任务之前，你需要证明一下你的实力，去杀一些野外的生物吧。消灭沙虫、夜莺、毒雾火蛇、黄沙蜥蜴各1只,沙虫:1|夜莺:1|毒雾火蛇:1|黄沙蜥蜴:1,,,,jinaodao/zhaogongming400,这么点小工作你都完成不了吗？,不错，看来你还是有一定实力的。,120,120,,,,0,0,0,0,null,null
2,n,重要的材料,收集2个沙虫的卵之后找赵公明复命,1,,妖魔,,,,jinaodao/zhaogongming400,find,,我需要一些沙虫的卵用来炼制药材，帮我收集2个就够了,,沙虫的卵:2,,,jinaodao/zhaogongming400,还没收集够我需要的材料吗？,恩，这些食物就给你作为奖励吧,120,120,food/ganliang:5|water/qingquanshui:5,1,1,0,0,0,0,null,null
3,n,一瓶毒液,杀掉毒雾火蛇，采集1瓶最精纯的蛇毒之后找赵公明复命,3,,妖魔,,,,jinaodao/zhaogongming400,find,,帮我从村外的毒雾火蛇身上采集一瓶毒液，记得我只要最纯正的毒液，这个东西可能很难搞到哦。,,精纯的蛇毒:1,,,jinaodao/zhaogongming400,你还没收集到毒液吗？看来你的运气确实不怎么样呢。,就是这个，你的手脚挺快的吗。,240,240,,,1,0,0,0,0,null,null
4,n,被窃的信件,寻回被窃的机密竹简之后找赵公明复命,3,,妖魔,,,,jinaodao/zhaogongming400,find,,我们有一封重要的机密竹简被天仙教的那些杂碎偷走了，麻烦你一定要把他夺回来。,,机密竹简:1,,,jinaodao/zhaogongming400,这个竹简对我们很重要，请你尽快去寻找。,辛苦你了，幸好竹简没被毁掉。,240,240,,,2,0,0,0,0,null,null
5,n,排除异己,杀掉20个游魂之后找赵公明复命,5,,妖魔,,,,jinaodao/zhaogongming400,kill,,最近鬼界的人总来骚扰我们，杀掉他们的那些游魂，让他们知道我们的厉害。,游魂:20,,,,jinaodao/zhaogongming400,快去做你应该做的事。,这次看那些鬼魂还敢不敢来骚扰我们。,480,360,,,3,0,0,0,0,null,null
6,n,收割！,收集3个天仙教徽章之后找赵公明复命,5,,妖魔,,,,jinaodao/zhaogongming400,find,,现在是我们报复的时候了，去杀掉那些天仙教的杂碎，把他们的徽章拿回来给我。,,天仙教徽章:3,,,jinaodao/zhaogongming400,这个任务并不难吧，请你快去完成他。,这次只是给他们一点小教训。,480,360,,,4,0,0,0,0,null,null
7,n,教主大人,去碧游宫面见通天教主,7,,妖魔,,,,jinaodao/zhaogongming400,send,,从这里一直往南走就可以到碧游宫了，去面见一下教主大人吧，顺便传达一下我的问候。,,,,,jinaodao/tongtianjiaozhu999,你是那来的小妖？,赵公明介绍你来见我的？看来他选人的眼光越来越不行了，现在的你还不够给那些虚伪的仙人们塞牙缝的。,720,480,,,6,0,0,0,0,null,null
8,n,妖本是仙,去十君殿找王天君,7,,妖魔,,,,jinaodao/tongtianjiaozhu999,send,,现在的你还不配接受我给你的任务，你去找王天君吧，他会安排一些你这样的小妖可以做的任务。,,,,,jinaodao/wangtianjun400,你的面孔很生疏啊。,真是奇怪，教主怎么会收留你这种没有实力的妖魔？既然你到我这里来了，那就听候安排吧你。,720,480,,,,0,0,0,0,null,null
9,n,化妖之路,挖到8个鬼灵精华之后找王天君复命,9,,妖魔,,,,jinaodao/wangtianjun400,find,,看在赵公明举荐你的份上，我帮你炼化一把兵器吧，不过兵器的材料需要你自己去寻找了，在那些高级游魂的身上挖到八块鬼灵精华来给我。,,鬼灵精华:8,,,jinaodao/wangtianjun400,收集不到足够的物品，我是没法给你炼化妖器的。,好了，拿着吧，好好利用它。,1200,600,taskaward/huaxueshendao:1,,8,0,0,0,0,null,null
10,n,金鳌的秘密,杀掉散仙、道士、修真士、力士各10个之后找王天君复命,9,,妖魔,,,,jinaodao/wangtianjun400,kill,,十绝幻阵那里有很多俘虏来的低级修道者，你去拿他们练练手吧，完成任务后我会告诉你一点只有我们妖魔才可以知道的秘密。,散仙:10|道士:10|修真士:10|力士:10,,,,jinaodao/wangtianjun400,任务不完成的话，你不可能从我这里套到任何消息。,安静的听我和你说，其实我们妖魔和人类一样也是修仙的。当然，这个名词是那些虚伪人类发明的，但是本质上是一样的，不管是人类还是妖魔，我们的修炼方式都是相同的，而且我们的教主大人和人类的领袖还是师兄弟。但是人类那些家伙从来都是骄傲自大，自以为是，他们是怕我们妖魔修炼之后影响到他们万物之长的地位，所以才打击我们的势力，所以你要记住，以后遇到那些虚伪的家伙不用手软，让他们知道知道，我们妖魔并不是好惹的！！,1200,600,,,8,0,0,0,0,null,null
11,n,小试牛刀,消灭钦原、霜狼、土蝼、食肉蝙蝠各1只之后找道德真君复命,1,,人类,,,,kunlunshan/daodezhenjun400,kill,,看来昆仑山又多了一个小道士啊，你如果真的想成为一个正式的仙人，那就去消灭几个野兽来证明你的实力吧。,钦原:1|霜狼:1|土蝼:1|食肉蝙蝠:1,,,,kunlunshan/daodezhenjun400,快去快回，路上注意安全。,你表现的不错。,120,120,,,,0,0,0,0,null,null
12,n,收集物资,收集2个钦原的羽毛之后找道德真君复命,1,,人类,,,,kunlunshan/daodezhenjun400,find,,现在需要考验一下你的采集能力，帮我收集2支钦原的羽毛来吧。,,钦原的羽毛:2,,,kunlunshan/daodezhenjun400,我需要的材料还没收集够吗？,多谢你的帮助，这里有一些疗伤药你拿去用吧。,120,120,food/ganliang:5|water/qingquanshui:5,1,11,0,0,0,0,null,null
13,n,清理山门,消灭3个天仙教妖道之后找道德真君复命,3,,人类,,,,kunlunshan/daodezhenjun400,kill,,天仙教的那些叛逆经常在我们村外惹事，麻烦你去教训教训他们。,天仙教妖道:3,,,,kunlunshan/daodezhenjun400,注意那些叛徒，他们都是很狡猾的。,这次的任务完成的很好。,240,240,,,11,0,0,0,0,null,null
14,n,一颗仙草,找到1棵云台灵芝之后找道德真君复命,3,,人类,,,,kunlunshan/daodezhenjun400,find,,我需要你帮我找到一棵珍贵的灵芝菜，听说土蝼这种巨大的昆虫最爱收藏各类奇珍异草。,,云台灵芝:1,,,kunlunshan/daodezhenjun400,还没找到我要的草药吗？,有了这棵云台灵芝，我的青云丹马上就可以炼制成功了。,240,240,,,12,0,0,0,0,null,null
15,n,昆仑山的毒瘤,消灭5个无脑僵尸之后找道德真君复命,5,,人类,,,,kunlunshan/daodezhenjun400,kill,,有个棘手的事情需要你帮忙，最近妖魔的毒液使那些死去的尸体都复活了，去清除一下村外的那些无脑僵尸。,无脑僵尸:5,,,,kunlunshan/daodezhenjun400,请速去清理那些僵尸，否则他们会攻击普通百姓的。,任务完成的不错，看的出来你又成长了不少。,480,360,,,13,0,0,0,0,null,null
16,n,雾里仙山,为道德真君传信给玉虚宫的原始天尊,5,,人类,,,,kunlunshan/daodezhenjun400,send,,你在这里已经修炼很久了，我现在需要你帮我去给我师傅原始天尊传个话，你去昆仑山上找他吧。,,,,,kunlunshan/yuanshitianzun999,从仙之道是很清苦的。,来到玉虚宫就是我昆仑的弟子了，希望你能好好修炼。,480,360,,,15,0,0,0,0,null,null
17,n,门下弟子,去找太乙真人报道,7,,人类,,,,kunlunshan/yuanshitianzun999,send,,你去找太乙真人吧，他会安排你进行修炼的,,,,,kunlunshan/taijizhenren400,看来我又要有事情做了。,欢迎你加入昆仑山，从今天起，你就跟着我好好修炼吧。,720,480,,,,0,0,0,0,null,null
18,n,新的开始,寻找3颗霜狼银牙之后找太乙真人复命,7,,人类,,,,kunlunshan/taijizhenren400,find,,霜狼银牙是我们昆仑山上特有的材料，只有最强壮的霜狼才有可能掉落银牙，你去帮我找一颗来吧。,,霜狼银牙:3,,,kunlunshan/taijizhenren400,小心别被狼给吃了，霜狼是很凶的。,这银牙可真漂亮。,720,480,,,17,0,0,0,0,null,null
19,n,昆仑山的修炼,收集10个影石之后找太乙真人复命,9,,人类,,,,kunlunshan/taijizhenren400,find,,我会利用霜狼银牙为你打造一件武器，现在还需要大量的影石作为材料，清净坊那里的各类虚空傀儡都可以掉晶石。,,影石:10,,,kunlunshan/taijizhenren400,快去收集影石吧。,希望你早日修练有成。,1200,600,taskaward/xiangmochu:1,,18,0,0,0,0,null,null
20,n,从仙之道,消灭虚空幻影、无影幻兽、飘渺魔影、混沌巨鹰各10只之后找太乙真人复命,9,,人类,,,,kunlunshan/taijizhenren400,kill,,今天开始，你就要在昆仑修炼了，先去清净坊利用那里的影魅锻炼一下你的道法吧。,虚空幻影:10|无影幻兽:10|飘渺魔影:10|混沌巨鹰:10,,,,kunlunshan/taijizhenren400,你要加紧时间修炼啊，否则会被那些可恶的妖魔欺负的。,你现在已经算小有成就了。,1200,600,,,17,0,0,0,0,null,null
21,n,在金鳌岛的修炼,杀掉修真士、濒死诛仙、散仙、道士、力士、落魄剑仙各5个之后找王天军复命,10,,妖魔,,,,jinaodao/wangtianjun400,kill,,你从现在开始就要在金鳌岛这里修炼了，去十绝幻阵那里去修炼一番吧。,修真士:5|濒死诛仙:5|散仙:5|道士:5|力士:5|落魄剑仙:5,,,,jinaodao/wangtianjun400,你最好手脚快点。,恩，还算你有两下子,1200,800,,,,0,0,0,0,null,null
