文件名,技能名称,群体攻击,技能类型,技能冷却时间,技能持续伤害时间,技能诅咒对方属性类型,物理技能伤害,物理技能伤害增加百分比,法术技能伤害,end
b_tuxi,【突袭】,,物理,60,,,100,,,end
b_suanyeyu,【酸液雨】,1,毒,180,,,,,10:12,end
b_zhongya,【重压】,,物理,60,,,120,,,end
b_fantiandaori,【翻天倒日】,1,火,180,,,,,10:12,end
b_dulongyao,【毒龙咬】,,物理,60,,,150,,,end
b_liudufushe,【流毒辐射】,1,火,180,,,,,10:12,end
b_lanhuazhi,【兰花指】,,物理,60,,,100,,,end
b_tiannvsanhua,【天女散花】,1,风,180,,,,,10:12,end
b_zhubiancisha,【竹鞭刺杀】,,物理,60,,,120,,,end
b_zhujianbiri,【竹剑蔽日】,1,火,180,,,,,10:12,end
b_taiyangrexian,【太阳热线】,,物理,60,,,150,,,end
b_wanhuazhao,【万花照】,1,火,180,,,,,10:12,end
